date,hour,station,ridership,day_of_week,is_weekend,is_peak,previous_hour_demand,previous_day_demand,rolling_3hr_demand,demand_change,hour_sin,hour_cos,day_sin,day_cos
2025-08-02,0,Benniganahalli,0,5,1,0,54.0,1.0,164.66666666666666,-54.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146
2025-08-02,1,Benniganahalli,0,5,1,0,0.0,0.0,18.0,0.0,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146
2025-08-02,2,Benniganahalli,0,5,1,0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2025-08-02,3,Benniganahalli,0,5,1,0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146
2025-08-02,4,Benniganahalli,24,5,1,0,0.0,34.0,8.0,24.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2025-08-02,5,Benniganahalli,215,5,1,0,24.0,182.0,79.66666666666667,191.0,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146
2025-08-02,6,Benniganahalli,483,5,1,0,215.0,427.0,240.66666666666666,268.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
2025-08-02,7,Benniganahalli,1083,5,1,1,483.0,1239.0,593.6666666666666,600.0,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146
2025-08-02,8,Benniganahalli,1929,5,1,1,1083.0,3095.0,1165.0,846.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
2025-08-02,9,Benniganahalli,2295,5,1,1,1929.0,3674.0,1769.0,366.0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146
2025-08-02,10,Benniganahalli,1807,5,1,1,2295.0,2723.0,2010.3333333333333,-488.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2025-08-02,11,Benniganahalli,1819,5,1,0,1807.0,1529.0,1973.6666666666667,12.0,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146
2025-08-02,12,Benniganahalli,1498,5,1,0,1819.0,1173.0,1708.0,-321.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
2025-08-02,13,Benniganahalli,1424,5,1,0,1498.0,983.0,1580.3333333333333,-74.0,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146
2025-08-02,14,Benniganahalli,1355,5,1,0,1424.0,1016.0,1425.6666666666667,-69.0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
2025-08-02,15,Benniganahalli,1486,5,1,0,1355.0,944.0,1421.6666666666667,131.0,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146
2025-08-02,16,Benniganahalli,1474,5,1,0,1486.0,1281.0,1438.3333333333333,-12.0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
2025-08-02,17,Benniganahalli,1757,5,1,1,1474.0,1636.0,1572.3333333333333,283.0,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146
